路線別着時間帯別駅間輸送定員表,,,単位：人,,,,,,,,,,,,,,,,,,,,
事業者名,路線名,方向,発駅名,着駅名,"始発～
　 6:59","7:00～
　 7:29","7:30～
　 7:59","8:00～
　 8:29","8:30～
　 8:59","9:00～
　 9:29","9:30～
　 9:59","10:00～
　 10:59","11:00～
　 12:59","13:00～
　 14:59","15:00～
　 16:59","17:00～
　 17:59","18:00～
　 18:59","19:00～
　 19:59","20:00～
　 20:59","21:00～
　 21:59","22:00～
　 22:59","23:00～
　 23:59","24:00～
　   終発"
,,,桜ノ宮,天満,"22,238","7,798","10,020","8,936","11,158","7,792","8,876","17,513","30,235","26,018","30,235","17,752","17,770","17,752","17,770","13,332","11,092","7,816","3,360"
,,,天満,大阪,"21,142","8,894","8,924","10,032","10,038","8,912","7,780","17,489","31,355","26,018","30,235","17,752","17,770","17,752","17,770","13,332","9,996","8,912","3,360"
,,,大阪,福島,"20,022","8,894","8,924","10,032","8,936","7,816","8,876","17,489","30,235","26,018","30,235","17,752","17,770","17,752","17,770","13,332","11,116","6,672","1,120"
,,,福島,野田,"20,022","7,798","10,020","8,936","8,912","8,936","7,756","17,770","29,972","26,018","30,235","18,854","17,770","17,752","17,770","13,332","11,116","6,672","1,120"
,,,野田,西九条,"18,920","7,780","10,038","10,038","8,912","7,816","7,780","18,866","29,972","26,018","30,235","17,752","17,770","17,752","17,770","14,434","9,996","7,792","1,120"
,,,西九条,弁天町,"17,472","9,260","9,508","10,286","6,920","6,162","7,404","15,220","26,690","27,212","25,853","14,110","14,146","14,106","14,146","12,872","8,876","7,792","1,120"
,,,弁天町,大正,"16,352","8,876","10,764","9,166","7,192","7,258","6,302","14,978","26,938","27,212","26,949","14,110","14,146","14,106","14,146","12,872","8,876","6,672","2,240"
,,,大正,芦原橋,"15,968","9,260","9,644","9,166","7,192","7,258","6,302","14,978","28,058","27,212","25,829","14,110","14,146","14,106","14,146","12,872","8,876","7,792","2,240"
,,,芦原橋,今宮,"15,968","9,260","8,524","10,286","7,192","7,258","6,302","14,978","26,938","27,212","26,949","14,110","14,146","14,106","14,146","12,530","9,218","7,792","2,240"
,,,今宮,新今宮,"14,848","9,260","9,644","9,166","8,312","7,258","6,302","14,978","26,938","27,212","26,949","13,862","14,146","14,106","14,146","12,778","9,218","7,792","2,240"
,,,新今宮,天王寺,"14,848","9,260","8,542","10,268","8,064","7,258","6,550","14,978","26,938","27,212","26,949","13,862","14,146","14,106","14,146","11,676","10,320","7,792","2,240"
,,,,,,,,,,,,,,,,,,,,,,,
,,外回り,天王寺,新今宮,"18,992","6,616","8,876","8,098","8,182","7,244","7,005","16,063","26,949","26,484","25,287","14,484","14,124","15,206","14,128","13,022","11,328","8,918",0
,,,新今宮,今宮,"17,872","6,640","8,852","8,116","9,284","6,148","8,101","14,943","28,069","26,484","25,287","14,484","14,124","15,206","14,128","11,654","12,696","7,798","1,120"
,,,今宮,芦原橋,"18,992","8,880","8,876","10,356","9,260","7,268","8,101","13,847","26,949","26,484","25,287","14,484","14,124","15,206","14,128","13,870","12,696","7,798","1,120"
,,,芦原橋,大正,"17,872","8,880","9,996","10,356","9,260","7,268","6,981","14,967","26,949","26,484","25,287","14,484","14,124","15,206","14,128","13,870","11,594","8,900","1,120"
,,,大正,弁天町,"17,872","8,880","8,876","10,356","10,380","6,148","8,101","14,967","26,949","26,484","25,287","14,484","14,124","15,206","14,128","13,870","11,594","8,900","1,120"
,,,弁天町,西九条,"16,776","8,518","9,214","10,374","10,362","7,268","6,999","15,230","26,686","26,484","25,287","14,484","14,106","15,224","14,128","13,852","12,714","8,900","1,120"
,,,西九条,野田,"15,656","8,912","7,756","11,110","8,858","10,020","8,631","17,752","31,092","25,492","27,449","17,770","17,752","18,866","17,752","16,626","14,458","8,900","2,240"
,,,野田,福島,"15,656","7,792","7,780","11,110","8,858","11,116","7,511","18,872","31,092","25,492","26,329","17,770","17,752","18,866","17,752","16,644","14,440","10,020","2,240"
,,,福島,大阪,"14,560","7,792","8,876","11,110","7,738","11,134","8,613","17,752","31,092","25,492","27,449","16,650","17,752","18,866","17,752","17,764","13,344","11,116","2,240"
,,,大阪,天満,"16,800","6,672","8,894","18,776","8,858","10,014","9,739","17,752","32,188","25,492","26,329","16,674","17,752","16,674","17,752","18,866","14,440","10,014","5,582"
,,,天満,桜ノ宮,"15,680","7,792","7,774","18,794","8,858","9,996","9,739","18,872","31,092","25,492","27,425","16,674","17,752","16,674","17,752","18,866","13,320","11,134","5,582"
,,,桜ノ宮,京橋,"15,680","6,672","7,792","19,896","7,738","11,116","8,900","18,591","32,212","25,492","26,323","16,674","17,752","16,674","17,752","17,764","15,524","11,134","5,582"
,,,京橋,大阪城公園,"17,920","7,792","7,792","18,776","6,660","5,600","6,666","11,985","25,516","25,755","26,042","16,674","17,752","16,674","17,752","12,188","12,224","7,822","2,240"
,,,大阪城公園,森ノ宮,"24,640","7,792","7,816","18,752","6,678","6,702","5,564","13,087","25,516","25,755","26,042","16,674","17,752","16,674","17,752","12,188","12,224","6,702","2,240"
,,,森ノ宮,玉造,"23,520","8,912","7,816","7,756","17,674","5,582","6,684","11,967","25,516","25,755","26,042","16,674","17,752","16,674","17,752","12,188","13,344","6,702","2,240"
,,,玉造,鶴橋,"22,400","8,912","7,816","8,876","17,674","5,582","6,684","11,967","25,516","25,755","26,042","16,674","17,752","16,674","17,752","12,188","12,224","7,822","2,240"
,,,鶴橋,桃谷,"22,400","8,912","7,816","7,756","17,674","5,582","6,684","13,087","24,420","25,755","27,138","15,578","17,752","16,674","17,752","13,284","12,224","7,822","2,240"
,,,桃谷,寺田町,"21,280","8,936","7,792","8,876","17,674","5,582","6,684","11,967","25,540","25,755","27,138","15,578","17,752","16,674","17,752","12,188","12,218","7,804","3,360"
,,,寺田町,天王寺,"21,280","7,816","8,912","7,756","18,794","4,462","7,804","11,967","25,540","25,755","26,036","15,578","17,752","16,674","17,752","13,290","12,218","7,804","3,360"
,,,,,,,,,,,,,,,,,,,,,,,
,福知山線,下り,大阪,尼崎,"5,383","3,769","1,876","2,340","2,130","4,487","1,876","3,719","10,640","10,608","7,780","3,463","3,651","3,463","3,651","1,832","2,120","1,089","3,195"
,,,尼崎,塚口,"8,578","5,358","4,801","6,346","4,260","9,812","6,136","11,174","19,160","19,128","21,608","11,983","12,171","11,983","12,171","11,688","8,510","8,290","3,195"
,,,塚口,猪名寺,"6,448","4,293","3,736","4,216","5,325","6,600","5,342","8,773","14,900","14,868","17,365","11,983","12,171","11,983","12,171","10,623","9,575","8,290","3,195"
,,,猪名寺,伊丹,"6,448","3,228","4,801","4,216","4,260","7,665","5,342","8,773","14,900","14,868","17,365","11,983","12,171","11,983","12,171","10,623","9,575","8,290","3,195"
,,,伊丹,北伊丹,"5,907","3,228","5,342","4,216","4,260","5,535","6,407","8,773","14,900","14,868","17,365","11,983","12,171","11,983","12,171","10,623","9,575","8,290","4,260"
,,,北伊丹,川西池田,"4,818","4,317","4,277","5,281","4,260","5,535","6,407","8,773","14,900","14,868","17,365","11,983","12,171","11,983","12,171","10,623","9,575","8,290","4,260"
,,,川西池田,中山寺,"4,818","4,317","4,277","4,216","4,260","5,535","7,472","8,773","14,900","14,868","17,365","10,918","12,171","11,983","12,171","11,688","8,510","8,290","5,325"
,,,中山寺,宝塚,"3,753","3,506","3,482","4,757","3,195","4,470","6,407","8,773","14,900","14,868","17,365","10,894","12,178","11,983","12,171","11,705","9,575","8,290","4,260"
